Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,468.5316,538860.3,97.75,5666.6,21.97
astar,true,550.7351,532194.7,96.54,5666.6,93.90
bfs,true,325.0080,538862.7,97.75,5666.6,22.96
dfs,true,71.1105,238319.6,43.23,5666.6,13.26
wallFollower,true,120.0011,631378.4,114.54,5666.6,25.41
dijkstra,false,509.8896,554587,98.28,4617,21.00
astar,false,657.7169,548440.4,97.19,4645.6,113.11
bfs,false,333.0162,554588.9,98.28,4617,19.18
dfs,false,77.2836,284590.7,50.43,11226.8,13.83
wallFollower,false,112.3846,603660.6,106.98,41547.2,22.01
