Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,431.2999,491840.6,98.37,5576.2,15.07
astar,true,477.1742,486763.8,97.35,5576.2,76.31
bfs,true,309.8049,491836.6,98.37,5576.2,17.80
dfs,true,82.5797,271645.8,54.33,5576.2,10.82
wallFollower,true,93.6872,461898.4,92.38,5576.2,19.43
dijkstra,false,450.6659,504653.4,98.58,4159,19.79
astar,false,543.8884,499531.8,97.58,4183,85.74
bfs,false,339.9955,504655,98.58,4159,20.51
dfs,false,65.7426,202621,39.58,9366.6,9.34
wallFollower,false,131.3087,679698.8,132.77,39784.2,24.33
