Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,254.6145,311358.7,97.30,4379.8,15.13
astar,true,301.3940,307188.9,96.00,4379.8,62.10
bfs,true,188.6293,311358.6,97.30,4379.8,15.72
dfs,true,44.1406,136201,42.56,4379.8,9.92
wallFollower,true,64.9663,371788.4,116.18,4379.8,15.24
dijkstra,false,285.7217,322905.6,98.56,3527.8,16.69
astar,false,348.9601,318508.6,97.22,3544.2,65.41
bfs,false,200.0411,322908.6,98.56,3527.8,12.31
dfs,false,51.8227,177336,54.13,8602.4,12.19
wallFollower,false,65.1243,318334.4,97.16,26868.6,15.30
