Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,128501.6955,315714.3333333333,98.66,4642.333333333333,16.90
bfs,true,231.3377,317155.3333333333,99.11,4642.333333333333,12.63
dfs,true,71.6269,120796.33333333333,37.75,4642.333333333333,4.72
wallFollower,true,91.0481,403037.3333333333,125.95,4642.333333333333,18.35
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,127909.8917,314120,95.89,3367,17.17
bfs,false,252.1190,320903,97.96,3367,17.37
dfs,false,67.2982,137198.66666666666,41.89,6293.666666666667,13.64
wallFollower,false,80.5068,366766.6666666667,111.96,27009.666666666668,20.33
