Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2029.14,6364060,99.64,53666,2808.66
astar,true,1857.06,6368888,99.72,53666,2850.91
bfs,true,1372.13,6364064,99.65,53666,2522.72
dfs,true,418.06,2532385,39.65,53666,1799.12
wallFollower,true,877.57,7760756,121.51,53666,2754.59
dijkstra,false,3556.15,6991622,99.96,8491,2791.31
astar,false,1941.51,7119209,101.79,8491,3022.65
bfs,false,1250.35,6991622,99.96,8491,2445.08
dfs,false,332.80,1759093,25.15,41823,1442.60
wallFollower,false,1098.48,7441618,106.40,2037311,2650.80
