Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1686.2796,706583.5,98.14,7025.4,24.32
astar,true,2047.1778,701723.8,97.46,7025.4,132.25
bfs,true,709.2355,706585.7,98.14,7025.4,28.16
dfs,true,175.1891,363955.6,50.55,7025.4,14.17
wallFollower,true,141.7503,718928.8,99.85,7025.4,25.05
dijkstra,false,1921.1725,726468.4,98.56,5541.2,24.77
astar,false,2102.4564,715634.6,97.09,5586.2,137.95
bfs,false,768.3357,726469.5,98.56,5541.2,25.10
dfs,false,154.6296,306032.4,41.52,12171,12.93
wallFollower,false,171.7895,756085.4,102.58,59417.8,25.50
