Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],MemoryUsed [MB]
dijkstra,true,1.94,4708,94.18,3.84
astar,true,2.61,4901,98.04,4.80
bfs,true,3.67,4714,94.30,6.11
dfs,true,1.58,2425,48.51,2.00
wallFollower,true,2.30,5816,116.34,3.86
dijkstra,false,2.79,5484,99.85,6.42
astar,false,3.25,5555,101.15,8.00
bfs,false,2.43,5483,99.84,2.93
dfs,false,0.97,1881,34.25,0.00
wallFollower,false,2.26,6060,110.34,3.36
