Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1378.6106,593347.6,98.07,6077.4,18.02
astar,true,1645.5672,586606.2,96.96,6077.4,112.16
bfs,true,553.6967,593350.7,98.07,6077.4,21.47
dfs,true,121.2789,268791.2,44.43,6077.4,13.72
wallFollower,true,141.5545,677739.2,112.02,6077.4,16.77
dijkstra,false,1529.0499,612239.1,98.85,4957.8,13.96
astar,false,1801.2756,606321.3,97.89,4976,120.49
bfs,false,569.2963,612236.8,98.85,4957.8,15.41
dfs,false,135.8237,309724.1,50.01,13031.6,13.43
wallFollower,false,146.6811,620462.2,100.17,42333.2,15.24
