Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,207.5422,120618.1,96.50,2699.8,9.13
astar,true,294.9044,117695,94.16,2699.8,24.14
bfs,true,106.1604,120619.3,96.50,2699.8,8.96
dfs,true,33.3845,65380.4,52.30,2699.8,7.09
wallFollower,true,33.6859,121750,97.40,2699.8,8.59
dijkstra,false,239.6351,124663.9,97.42,2209.4,6.83
astar,false,315.9511,122618.9,95.82,2223.2,27.54
bfs,false,132.4870,124664.7,97.42,2209.4,4.41
dfs,false,35.2121,70258.8,54.90,4132.8,7.74
wallFollower,false,32.3901,85710.6,66.97,9443.8,10.47
