Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,148.8580,121832.6,97.47,2778.2,14.32
astar,true,167.2952,118977.2,95.18,2778.2,23.46
bfs,true,112.8764,121831.4,97.47,2778.2,5.35
dfs,true,34.9759,69395,55.52,2778.2,9.55
wallFollower,true,38.0630,113914.8,91.13,2778.2,10.31
dijkstra,false,154.4153,123896.4,96.81,2308,7.53
astar,false,190.9711,119797.1,93.61,2315.2,22.95
bfs,false,116.1364,123899.2,96.82,2308,6.02
dfs,false,33.4652,67623.5,52.84,4893.6,8.26
wallFollower,false,39.8974,110921.8,86.67,10470.4,5.98
