Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1853.1056,767290.4,98.21,7153.8,26.26
astar,true,2224.1662,761471.3,97.47,7153.8,135.21
bfs,true,746.1706,767296.1,98.21,7153.8,22.69
dfs,true,200.5534,456923,58.49,7153.8,21.39
wallFollower,true,172.5657,654869.6,83.82,7153.8,22.22
dijkstra,false,2058.6787,784766.9,98.12,5451.6,19.93
astar,false,2598.7772,776792.1,97.12,5474.6,127.08
bfs,false,804.1775,784764.7,98.12,5451.6,24.48
dfs,false,179.7871,449639.8,56.22,13190.6,19.69
wallFollower,false,175.8034,715498.6,89.46,56577.6,26.11
