Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,695.1318,351994.3,97.44,4484.2,14.68
astar,true,961.4760,340076.8,94.14,4484.2,66.44
bfs,true,318.5490,351993.5,97.44,4484.2,17.40
dfs,true,84.9948,198118,54.84,4484.2,11.94
wallFollower,true,69.0429,330450,91.47,4484.2,17.36
dijkstra,false,786.6795,360909.3,97.59,3702.2,15.74
astar,false,1070.1671,355349.1,96.09,3722,66.82
bfs,false,317.3054,360910.5,97.59,3702.2,12.99
dfs,false,56.9535,121900.6,32.96,6989.6,6.49
wallFollower,false,75.2689,337480.8,91.26,26347.6,14.36
