Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,775.3443,827216.6,97.90,7056.2,21.42
astar,true,823.9818,817963.6,96.80,7056.2,136.18
bfs,true,527.7059,827224.2,97.90,7056.2,27.51
dfs,true,109.4200,311106.6,36.82,7056.2,12.96
wallFollower,true,192.5914,1074827.2,127.20,7056.2,32.50
dijkstra,false,812.0421,848632.5,98.10,5833.6,24.27
astar,false,1021.4154,840279.9,97.14,5872,137.81
bfs,false,530.0137,848636.8,98.10,5833.6,28.97
dfs,false,155.3109,343921.6,39.76,11467.8,16.05
wallFollower,false,178.7489,901151.2,104.17,65159.6,27.11
