Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,166.0052,98332.6,97.12,2517.4,9.82
astar,true,260.5060,95480.2,94.30,2517.4,21.93
bfs,true,94.4859,98333.1,97.12,2517.4,8.63
dfs,true,26.3367,45087.6,44.53,2517.4,8.79
wallFollower,true,32.9772,114168,112.76,2517.4,10.87
dijkstra,false,176.6926,102084.1,98.49,2119.4,11.11
astar,false,269.3104,99513.9,96.01,2132.6,22.21
bfs,false,81.6858,102085.6,98.49,2119.4,10.26
dfs,false,34.5079,50774,48.99,4228.2,6.56
wallFollower,false,27.9507,86679.6,83.63,8828.6,9.92
