Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,296.0038,354857.4,98.23,4661,15.33
astar,true,324.7683,350488.2,97.02,4661,68.68
bfs,true,223.0117,354858,98.23,4661,12.20
dfs,true,61.9275,209253.6,57.93,4661,12.05
wallFollower,true,56.8020,308520.8,85.40,4661,15.98
dijkstra,false,302.1391,362673,98.07,3958.2,15.20
astar,false,385.9347,359128.5,97.11,3984.4,69.27
bfs,false,205.6970,362673.7,98.07,3958.2,11.85
dfs,false,57.6129,175491.3,47.46,8080,11.65
wallFollower,false,76.8766,426712.4,115.39,29250.8,20.04
