Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1255.6934,1263504,98.71,9799.4,35.18
astar,true,1426.3126,1255335.1,98.07,9799.4,214.81
bfs,true,832.0234,1263510.8,98.71,9799.4,35.65
dfs,true,142.7978,522794.8,40.84,9799.4,21.78
wallFollower,true,260.8032,1523738,119.04,9799.4,49.56
dijkstra,false,1325.3014,1287194.7,98.23,7591.4,32.85
astar,false,1830.5698,1279949.6,97.67,7683.4,225.18
bfs,false,820.3996,1287196,98.23,7591.4,38.93
dfs,false,124.9767,490626.3,37.44,15682.6,18.68
wallFollower,false,313.1692,1603192,122.34,100589.2,36.73
