Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1189.0819,1329572.5,97.67,9540.6,49.06
astar,true,1315.1830,1313932.3,96.52,9540.6,226.36
bfs,true,705.3342,1329562.5,97.67,9540.6,47.13
dfs,true,164.8585,722167.4,53.05,9540.6,28.23
wallFollower,true,177.8998,1287572.8,94.59,9540.6,43.09
dijkstra,false,1277.7293,1377157,98.82,7865,36.97
astar,false,1608.6640,1371575.7,98.42,7907,242.40
bfs,false,739.9857,1377161.1,98.82,7865,43.24
dfs,false,133.1674,557413.9,40.00,17834.8,22.01
wallFollower,false,199.1863,1405531,100.86,103645.4,42.54
