Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,77.4556,59357.5,96.91,1702.2,10.87
astar,true,84.8255,56453.2,92.17,1702.2,11.61
bfs,true,55.9065,59354.3,96.91,1702.2,11.66
dfs,true,20.3567,30803,50.29,1702.2,8.53
wallFollower,true,29.0549,62501.6,102.05,1702.2,9.72
dijkstra,false,77.5955,60593,96.66,1523.6,13.08
astar,false,99.2891,58840.5,93.87,1529.8,13.13
bfs,false,57.3948,60593.9,96.66,1523.6,11.64
dfs,false,16.6907,24511.5,39.10,3190.2,10.99
wallFollower,false,21.7034,40872,65.20,5147.6,5.97
