Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,2146.4968,899183.9,98.68,7935.4,33.70
astar,true,2752.3351,893175.4,98.02,7935.4,142.88
bfs,true,953.2463,899185.1,98.68,7935.4,37.18
dfs,true,217.7149,456446.2,50.09,7935.4,14.81
wallFollower,true,172.9240,917253.6,100.66,7935.4,31.64
dijkstra,false,2587.6869,916895.5,98.29,6322.4,38.07
astar,false,3424.7643,907508.2,97.28,6350.4,160.11
bfs,false,994.6832,916893,98.29,6322.4,37.42
dfs,false,147.6454,345907.8,37.08,14831.2,13.82
wallFollower,false,238.2243,939557.8,100.72,68759.6,34.94
