Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1031.6090,488496.9,97.70,5417,18.31
astar,true,1245.4560,481250.3,96.25,5417,86.19
bfs,true,440.2734,488499.9,97.70,5417,20.12
dfs,true,83.0710,179014.6,35.80,5417,10.08
wallFollower,true,132.3070,647306.8,129.46,5417,23.64
dijkstra,false,1147.7314,501209,97.91,4619.8,19.16
astar,false,1506.6074,493206,96.35,4683.6,87.09
bfs,false,435.9082,501205.2,97.91,4619.8,18.17
dfs,false,120.5339,254289.7,49.68,12559.6,11.97
wallFollower,false,131.9446,668092,130.52,31914.2,22.36
