Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,55532.2774,206689,97.84,3886.3333333333335,34.66
bfs,true,152.3483,208076.66666666666,98.50,3886.3333333333335,5.95
dfs,true,54.9721,100485.66666666667,47.57,3886.3333333333335,7.27
wallFollower,true,58.9294,225218.66666666666,106.61,3886.3333333333335,11.21
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,58048.2087,210966,97.56,2899.6666666666665,33.40
bfs,false,168.3406,213064,98.53,2899.6666666666665,8.55
dfs,false,53.3026,128849,59.59,6385.666666666667,12.54
wallFollower,false,61.8551,236828,109.52,18554.333333333332,13.45
