Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,126.3705,58766.8,95.95,1821.8,9.59
astar,true,149.4200,55877.7,91.23,1821.8,10.82
bfs,true,67.7931,58768,95.95,1821.8,5.30
dfs,true,19.9852,26537,43.33,1821.8,5.02
wallFollower,true,38.2675,70705.6,115.44,1821.8,10.17
dijkstra,false,123.6342,60671.2,96.77,1442,12.86
astar,false,170.2529,59068.7,94.22,1453.6,11.44
bfs,false,68.5387,60671.6,96.77,1442,7.93
dfs,false,37.9973,40110.3,63.98,3092.6,5.87
wallFollower,false,33.7191,72992.4,116.42,5140,7.37
