Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,31.7131,4081.6,81.65,472.6,1.68
astar,true,33.1508,3525.6,70.53,472.6,2.28
bfs,true,18.2457,4082.9,81.67,472.6,1.10
dfs,true,7.9251,2363.4,47.28,472.6,0.77
wallFollower,true,9.6461,5172.8,103.48,472.6,0.94
dijkstra,false,33.4776,4617,90.22,396.8,2.40
astar,false,34.8699,4174.3,81.57,400.2,1.98
bfs,false,16.5838,4616.1,90.20,396.8,1.61
dfs,false,8.9325,2555.7,49.93,615.6,0.86
wallFollower,false,8.6131,5392.2,105.36,755.6,1.83
