Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,834.954,1958650,97.93,11045,749.31
astar,true,740.360,1968468,98.42,11045,728.83
bfs,true,528.865,1958666,97.93,11045,1019.05
dfs,true,195.468,1012441,50.62,11045,935.03
wallFollower,true,270.378,1981772,99.09,11045,879.07
dijkstra,false,1130.397,2025551,98.93,9310,894.34
astar,false,1047.383,2039792,99.63,9310,1062.84
bfs,false,664.460,2025548,98.93,9310,920.94
dfs,false,215.418,927108,45.28,22300,439.07
wallFollower,false,497.823,2783691,135.96,159333,881.65
