Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,243.6349,276425.9,98.29,4086.6,13.22
astar,true,265.3248,272209.1,96.79,4086.6,60.03
bfs,true,168.4240,276428.4,98.29,4086.6,9.82
dfs,true,40.4219,121306.8,43.13,4086.6,8.51
wallFollower,true,64.7415,323755.2,115.11,4086.6,14.37
dijkstra,false,237.1466,283891.5,98.60,3427.8,14.10
astar,false,315.3307,279275.6,97.00,3449.8,61.20
bfs,false,175.7541,283892.6,98.60,3427.8,11.29
dfs,false,45.0395,135245.7,46.98,7707.6,9.33
wallFollower,false,62.4809,306753.8,106.54,24077.8,13.87
