Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,511.5925,274555.9,97.62,3982.6,14.82
astar,true,772.5482,268287.9,95.39,3982.6,55.49
bfs,true,235.4718,274557.3,97.62,3982.6,16.11
dfs,true,79.8754,148275.8,52.72,3982.6,9.74
wallFollower,true,62.0841,269898.4,95.96,3982.6,12.28
dijkstra,false,580.9514,284308.8,98.75,3546,14.69
astar,false,877.3647,280521.9,97.44,3562.2,59.56
bfs,false,251.0657,284309.5,98.75,3546,8.82
dfs,false,66.0929,128326.8,44.57,6792.4,7.82
wallFollower,false,71.3351,274948.2,95.50,22059.4,13.89
