Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,17408.4672,114820.33333333333,91.86,2425,21.47
bfs,true,100.5695,122415.33333333333,97.93,2425,3.71
dfs,true,26.8950,58820.333333333336,47.06,2425,13.25
wallFollower,true,36.1505,134777.33333333334,107.82,2425,10.74
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,17068.3567,113663.33333333333,88.83,1749,20.92
bfs,false,95.7872,123374.33333333333,96.42,1749,3.96
dfs,false,35.4262,56316.666666666664,44.01,3270.3333333333335,7.38
wallFollower,false,37.1587,120832.66666666667,94.43,12041.666666666666,10.85
