Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,7948.1768,77145,96.43,2266.3333333333335,17.97
bfs,true,67.3370,77858,97.32,2266.3333333333335,11.26
dfs,true,32.7467,43251.666666666664,54.07,2266.3333333333335,7.58
wallFollower,true,31.0709,75733.33333333333,94.67,2266.3333333333335,9.07
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,7716.4038,76220.33333333333,93.06,1543.6666666666667,13.46
bfs,false,74.5924,80258.33333333333,97.99,1543.6666666666667,1.46
dfs,false,24.8710,42064,51.36,2684.3333333333335,6.47
wallFollower,false,34.2060,69452.66666666667,84.80,6733,11.48
