Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,587.5760,313569.4,97.99,4375.4,16.33
astar,true,877.9681,309033.9,96.57,4375.4,62.00
bfs,true,287.4042,313569.7,97.99,4375.4,17.84
dfs,true,78.8928,171587,53.62,4375.4,12.30
wallFollower,true,66.7007,301056.4,94.08,4375.4,11.53
dijkstra,false,652.4628,323019,98.60,3675.4,16.03
astar,false,921.4156,321176.1,98.04,3724.4,64.93
bfs,false,273.9534,323018.9,98.60,3675.4,14.05
dfs,false,77.0750,162115.5,49.49,7882.4,9.36
wallFollower,false,95.6387,430537,131.43,24470.2,17.23
