Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,74155.4331,239367.33333333334,97.70,3786.3333333333335,37.47
bfs,true,170.4766,240535,98.18,3786.3333333333335,9.47
dfs,true,51.5522,103154.33333333333,42.10,3786.3333333333335,8.23
wallFollower,true,67.8437,287268,117.25,3786.3333333333335,16.87
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,79034.6506,246589.66666666666,98.32,3204.3333333333335,41.90
bfs,false,191.4829,248824.33333333334,99.21,3204.3333333333335,6.79
dfs,false,46.5499,100135.66666666667,39.93,8485,6.87
wallFollower,false,72.0021,302807.3333333333,120.72,19709.666666666668,16.76
