Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,4298.25,12495032,99.96,91789,6048.54
astar,true,4321.98,12495067,99.96,91789,6246.34
bfs,true,3121.90,12495035,99.96,91789,3935.35
dfs,true,1076.29,5562057,44.50,91789,4831.97
wallFollower,true,2996.33,14027280,112.22,91789,4982.04
dijkstra,false,8054.76,13682666,99.96,11819,3810.62
astar,false,3870.09,13931909,101.79,11819,3784.45
bfs,false,2300.23,13682667,99.96,11819,780.15
dfs,false,50.13,101609,0.74,64921,101.79
wallFollower,false,40.10,38416,0.28,26097,1310.79
