Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,31.6346,18642,93.21,941,6.95
astar,true,36.4767,17183,85.92,941,6.20
bfs,true,17.8619,18642,93.21,941,1.08
dfs,true,9.7832,9263,46.32,941,3.77
wallFollower,true,13.5862,22389.333333333332,111.95,941,4.24
dijkstra,false,28.5716,18735.666666666668,91.58,875,4.08
astar,false,39.6077,17279.666666666668,84.47,877,4.93
bfs,false,15.8316,18733.666666666668,91.57,875,2.20
dfs,false,9.9877,10198.666666666666,49.87,1451,3.78
wallFollower,false,21.1443,18037.333333333332,88.15,2313.6666666666665,4.90
