Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,636.6109,707318.4,98.24,6725.8,24.81
astar,true,705.4909,698947.8,97.08,6725.8,132.19
bfs,true,441.7949,707316.2,98.24,6725.8,29.54
dfs,true,90.0994,317797.2,44.14,6725.8,15.83
wallFollower,true,141.5014,811109.2,112.65,6725.8,26.00
dijkstra,false,711.8347,728030.3,98.77,5731.6,27.61
astar,false,873.3321,723538.6,98.16,5820.4,135.14
bfs,false,468.8085,728033.5,98.77,5731.6,23.49
dfs,false,128.1173,454314.1,61.64,11836.4,18.66
wallFollower,false,150.0997,703773.4,95.48,52328.8,24.12
