Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,244954.9641,436763,96.79,4910.333333333333,25.11
bfs,true,338.5712,441433.6666666667,97.82,4910.333333333333,23.93
dfs,true,84.8498,214419,47.52,4910.333333333333,6.53
wallFollower,true,95.6959,478117.3333333333,105.95,4910.333333333333,23.80
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,250117.5285,440082,95.27,3739.6666666666665,13.81
bfs,false,324.7761,448671,97.13,3739.6666666666665,19.46
dfs,false,122.8687,313381.6666666667,67.84,8865,15.76
wallFollower,false,101.5525,533585.3333333334,115.51,37585,22.49
