Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,30.53,117949,94.36,4630,47.07
astar,true,32.16,120680,96.54,4630,41.02
bfs,true,25.86,117948,94.36,4630,43.17
dfs,true,11.36,58971,47.18,4630,32.35
wallFollower,true,17.44,136680,109.35,4630,55.22
dijkstra,false,38.82,136672,99.93,1224,57.39
astar,false,33.26,139215,101.79,1226,56.38
bfs,false,23.84,136672,99.93,1224,51.11
dfs,false,7.66,32800,23.98,4911,28.45
wallFollower,false,24.39,158994,116.24,36280,54.78
