Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1088.1607,1103233.8,98.07,8399.8,34.42
astar,true,1242.6734,1093835.6,97.23,8399.8,195.44
bfs,true,722.5820,1103233.1,98.07,8399.8,26.77
dfs,true,149.0241,576464.6,51.24,8399.8,23.69
wallFollower,true,187.3159,1105272.4,98.25,8399.8,35.74
dijkstra,false,1188.6872,1132821.8,98.37,7035.8,36.20
astar,false,1591.3614,1123813.7,97.59,7062.2,206.30
bfs,false,702.4367,1132823.2,98.37,7035.8,38.52
dfs,false,163.4348,564007.5,48.97,18971.4,24.41
wallFollower,false,220.9624,1321096.2,114.72,80038.8,43.68
