Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,209.0138,239601.3,97.80,3625.4,11.36
astar,true,210.9648,234285.7,95.63,3625.4,44.66
bfs,true,148.0212,239607,97.80,3625.4,8.77
dfs,true,40.4553,111967,45.70,3625.4,13.11
wallFollower,true,54.0787,269078.4,109.83,3625.4,18.10
dijkstra,false,200.1012,245652.9,97.93,3162,13.23
astar,false,248.6723,241662.7,96.34,3178,45.02
bfs,false,149.2531,245651.5,97.93,3162,8.58
dfs,false,37.7014,109423.5,43.62,5886.8,8.85
wallFollower,false,56.2818,274843,109.58,19899.8,13.91
