Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,104800.5031,42427.666666666664,94.29,1701,30.50
astar,true,2542.3756,40858,90.80,1701,8.95
bfs,true,74.7655,42424.333333333336,94.28,1701,5.86
dfs,true,38.0097,32916.333333333336,73.15,1701,14.00
wallFollower,true,24.7629,25838.666666666668,57.42,1701,10.48
dijkstra,false,106345.9573,44791.333333333336,97.25,1440.3333333333333,23.85
astar,false,3097.6753,43623,94.72,1440.3333333333333,12.46
bfs,false,82.2711,44790.666666666664,97.25,1440.3333333333333,5.55
dfs,false,35.7252,18628.333333333332,40.45,2737.6666666666665,6.30
wallFollower,false,45.0278,41581.333333333336,90.28,3944.3333333333335,10.78
