Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,407.0952,442131.7,97.98,5331.8,22.26
astar,true,421.2309,436658.6,96.77,5331.8,80.22
bfs,true,267.0836,442134.2,97.98,5331.8,17.55
dfs,true,62.3588,188505.6,41.77,5331.8,9.75
wallFollower,true,101.3878,530616.4,117.59,5331.8,20.36
dijkstra,false,414.3492,450786.5,97.59,4192.6,22.01
astar,false,504.6904,445549.9,96.45,4207.8,80.14
bfs,false,286.0178,450784.9,97.59,4192.6,20.20
dfs,false,96.6796,284841.6,61.66,10818.6,15.12
wallFollower,false,79.3673,401730.2,86.97,36204.8,19.64
