Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,334.0496,399819.4,98.72,5305.8,20.40
astar,true,376.4127,396539.3,97.91,5305.8,75.59
bfs,true,236.3137,399824,98.72,5305.8,16.92
dfs,true,64.4792,210207.8,51.90,5305.8,11.42
wallFollower,true,71.3421,394541.2,97.42,5305.8,16.60
dijkstra,false,352.3237,406682.5,98.09,3831.2,21.46
astar,false,437.2155,400714.7,96.65,3864.2,76.17
bfs,false,242.8034,406686,98.09,3831.2,19.95
dfs,false,59.4264,193734.9,46.73,8795.8,9.13
wallFollower,false,88.1962,448318.2,108.13,32776.8,19.51
