Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,42.3314,10154.1,90.27,782.2,1.81
astar,true,48.7262,9258.3,82.30,782.2,1.88
bfs,true,22.8935,10154.4,90.27,782.2,-0.24
dfs,true,15.4161,6344.4,56.40,782.2,0.39
wallFollower,true,15.3573,10458.8,92.98,782.2,0.35
dijkstra,false,51.9805,10696.1,92.95,667,1.53
astar,false,58.5300,9958.7,86.54,674.2,1.39
bfs,false,23.9654,10696.9,92.96,667,0.04
dfs,false,18.9087,5855.8,50.89,1143,0.63
wallFollower,false,16.1482,11010.2,95.68,1401.2,0.40
