Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,933.2691,440143,97.54,5189.8,20.57
astar,true,1198.9415,432751.2,95.90,5189.8,82.03
bfs,true,385.3865,440147,97.54,5189.8,20.20
dfs,true,102.7414,239225,53.01,5189.8,14.51
wallFollower,true,86.3076,427765.6,94.80,5189.8,15.79
dijkstra,false,1027.8205,453528.2,98.19,4002,17.62
astar,false,1281.2288,441954.4,95.68,4021.4,80.91
bfs,false,416.0992,453527.4,98.19,4002,18.18
dfs,false,131.0193,301203.9,65.21,8896.8,14.22
wallFollower,false,102.1911,495310,107.23,34807.6,21.69
