Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,213.6694,203874.6,96.51,3488.6,10.44
astar,true,208.0062,199031.2,94.22,3488.6,40.57
bfs,true,142.8817,203874.4,96.51,3488.6,10.75
dfs,true,43.3289,123967.6,58.68,3488.6,11.42
wallFollower,true,48.3831,177111.6,83.84,3488.6,10.98
dijkstra,false,193.3416,210476.9,97.33,2789.2,10.56
astar,false,226.4161,205039,94.81,2835.6,38.70
bfs,false,130.9953,210476.2,97.33,2789.2,9.56
dfs,false,39.9504,123247.8,56.99,5430.2,11.30
wallFollower,false,49.8545,255358.2,118.09,17521.6,11.79
