Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,670.7380,650375.6,98.36,6490.6,29.72
astar,true,675.1570,644548.7,97.47,6490.6,129.31
bfs,true,408.1572,650375.6,98.36,6490.6,27.25
dfs,true,87.2860,314766.6,47.60,6490.6,16.56
wallFollower,true,129.1728,699311.6,105.76,6490.6,22.08
dijkstra,false,602.3313,666989.9,98.53,5373.2,27.31
astar,false,791.4318,661962.3,97.79,5398.6,112.19
bfs,false,405.2270,666991.2,98.53,5373.2,27.52
dfs,false,71.1629,242894.2,35.88,11534.6,14.69
wallFollower,false,96.4692,527137.2,77.87,48174.8,22.34
