Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,6394.5911,10708.333333333334,95.19,735.6666666666666,19.55
astar,true,271.9895,9992.333333333334,88.83,735.6666666666666,1.42
bfs,true,33.8484,10709,95.20,735.6666666666666,0.29
dfs,true,23.8638,7379,65.60,735.6666666666666,0.42
wallFollower,true,15.4936,8380,74.50,735.6666666666666,1.06
dijkstra,false,6383.6968,10387.666666666666,90.37,698.3333333333334,21.69
astar,false,244.4306,9855,85.74,698.3333333333334,1.34
bfs,false,31.2143,10385,90.35,698.3333333333334,-0.35
dfs,false,21.0916,5569.666666666667,48.46,1275.6666666666667,0.26
wallFollower,false,20.8734,16596,144.38,1070.3333333333333,1.19
