Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,NaN,NaN,NaN,NaN,NaN
astar,true,26597.0475,142696.33333333334,94.35,2798.3333333333335,25.97
bfs,true,106.0446,146460.33333333334,96.83,2798.3333333333335,12.69
dfs,true,44.4382,69677,46.07,2798.3333333333335,6.61
wallFollower,true,47.9465,165860,109.66,2798.3333333333335,7.07
dijkstra,false,NaN,NaN,NaN,NaN,NaN
astar,false,27496.7716,144877.66666666666,93.57,2159,27.22
bfs,false,101.0164,149422,96.51,2159,14.20
dfs,false,21.3370,39707.333333333336,25.65,4373.666666666667,11.02
wallFollower,false,29.5527,89985.33333333333,58.12,12401,14.97
