Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1.6864,106,53.27,57,0.39
astar,true,2.1683,103,51.76,57,0.13
bfs,true,1.1972,106.66666666666667,53.60,57,0.09
dfs,true,1.0302,88.33333333333333,44.39,57,0.08
wallFollower,true,1.1455,182.66666666666666,91.79,57,0.12
dijkstra,false,2.5445,170.33333333333334,83.43,54.333333333333336,0.48
astar,false,2.1770,148.33333333333334,72.59,55.666666666666664,0.19
bfs,false,1.2232,171,83.75,54.333333333333336,0.13
dfs,false,0.9693,63.666666666666664,31.16,63.666666666666664,0.06
wallFollower,false,1.3234,228.66666666666666,111.82,76.33333333333333,0.15
