Algorithm,SinglePath,Time,VisitedNodes,VisitedPercentage,PathLength,MemoryUsed
dijkstra,true,1102.2245,541475.7,98.23,6227.4,18.73
astar,true,1489.1293,536403.6,97.31,6227.4,110.60
bfs,true,490.6982,541474.1,98.23,6227.4,20.04
dfs,true,111.4972,240654,43.66,6227.4,10.23
wallFollower,true,121.8677,627178.8,113.77,6227.4,21.97
dijkstra,false,1272.2402,554102.9,98.19,4826.4,19.46
astar,false,1623.4938,548404.5,97.18,4845.4,109.00
bfs,false,520.2019,554106.5,98.19,4826.4,19.70
dfs,false,106.9738,237231.1,42.04,10672,12.13
wallFollower,false,140.5893,703577,124.67,39664.6,28.25
