Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1106.793,508633,55.82,7735,625.56
astar,true,1916.006,889493,97.61,7735,572.59
bfs,true,1042.283,896809,98.42,7735,925.07
dfs,true,624.690,530505,58.22,7735,617.70
wallFollower,true,693.854,766553,84.12,7735,736.68
dijkstra,false,1573.311,532590,57.09,11175,1024.50
astar,false,3047.770,910054,97.55,6486,888.43
bfs,false,1278.141,917799,98.38,6486,1204.84
dfs,false,459.551,389736,41.77,18156,672.12
wallFollower,false,1066.542,952716,102.12,65344,984.70
