Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1702.936,733493,38.58,11691,1581.70
astar,true,4048.493,1860210,97.84,11691,883.77
bfs,true,2157.702,1871015,98.41,11691,1508.51
dfs,true,1137.563,1028956,54.12,11691,1486.24
wallFollower,true,1499.436,1755310,92.32,11691,1373.48
dijkstra,false,3572.361,1195420,61.42,18333,2611.76
astar,false,6990.647,1905558,97.90,9506,1437.72
bfs,false,2753.990,1914418,98.36,9506,2592.92
dfs,false,1545.259,1142082,58.68,23798,1793.53
wallFollower,false,2019.299,1999072,102.71,142907,1846.26
