Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1516.372,673400,56.06,8883,644.14
astar,true,2982.730,1159837,96.55,8883,1074.15
bfs,true,1461.582,1175533,97.86,8883,786.05
dfs,true,825.668,652214,54.29,8883,646.17
wallFollower,true,1147.011,1106819,92.14,8883,679.88
dijkstra,false,1346.395,560774,45.60,11869,760.79
astar,false,3561.211,1204442,97.94,7312,739.46
bfs,false,1491.708,1210346,98.42,7312,1095.91
dfs,false,707.796,524014,42.61,17024,470.69
wallFollower,false,1462.102,1408638,114.54,93319,859.93
