Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,4167.378,1632282,50.20,15923,1892.54
astar,true,8571.772,3178240,97.75,15923,1874.30
bfs,true,3822.908,3197028,98.33,15923,2671.95
dfs,true,1946.323,1686905,51.88,15923,1553.41
wallFollower,true,2822.129,3144458,96.72,15923,1966.73
dijkstra,false,5150.236,1858893,55.85,23241,2340.01
astar,false,10530.451,3271900,98.30,12975,1598.85
bfs,false,4169.860,3282926,98.63,12975,2556.53
dfs,false,1922.301,1620197,48.68,36925,1700.13
wallFollower,false,3660.003,3840227,115.37,251598,2919.80
