Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2707.663,2708383,49.74,21101,1370.42
astar,true,5712.828,5374436,98.70,21101,1649.75
bfs,true,2413.378,5356305,98.37,21101,1565.26
dfs,true,1073.665,3281219,60.26,21101,1963.09
wallFollower,true,1091.701,4348342,79.86,21101,1687.99
dijkstra,false,5025.315,2873012,51.54,27568,2384.75
astar,false,11971.701,5501685,98.69,16731,1959.52
bfs,false,3405.599,5483033,98.36,16731,1934.33
dfs,false,716.335,2093197,37.55,68618,1265.77
wallFollower,false,1799.881,6198596,111.20,410789,2181.85
