Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2409.33,5005522,97.76,19962,1878.83
astar,true,2189.29,5027430,98.19,19962,1702.41
bfs,true,1821.41,5005531,97.76,19962,1648.89
dfs,true,793.79,2717865,53.08,19962,1437.65
wallFollower,true,1044.51,4822104,94.18,19962,1731.04
dijkstra,false,2458.38,5158134,98.41,15993,1841.49
astar,false,2191.71,5197879,99.16,15993,2204.71
bfs,false,1713.17,5158134,98.41,15993,1730.44
dfs,false,622.97,1717636,32.77,54049,1174.94
wallFollower,false,1101.16,4488841,85.64,387083,1428.16
