Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,58.55,176017,97.79,3087,96.15
astar,true,63.37,177529,98.63,3087,93.57
bfs,true,55.99,176019,97.79,3087,87.75
dfs,true,19.99,75334,41.85,3087,61.73
wallFollower,true,39.32,211753,117.64,3087,70.12
dijkstra,false,60.15,180507,97.97,2600,66.69
astar,false,63.71,182308,98.95,2600,72.67
bfs,false,54.43,180506,97.97,2600,67.58
dfs,false,29.62,103282,56.05,4878,43.62
wallFollower,false,36.95,164839,89.47,14028,59.24
