Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1405.19,3071297,98.28,15618,1108.47
astar,true,1346.75,3081820,98.62,15618,1021.69
bfs,true,1117.70,3071299,98.28,15618,1252.69
dfs,true,495.16,1739787,55.67,15618,601.21
wallFollower,true,569.76,2784094,89.09,15618,820.67
dijkstra,false,1462.74,3154019,98.59,12575,990.31
astar,false,1326.70,3176508,99.29,12575,931.60
bfs,false,1103.63,3154020,98.59,12575,880.60
dfs,false,464.63,1382080,43.20,31951,765.74
wallFollower,false,805.68,3749219,117.19,240386,1146.36
