Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,862.73,1970008,98.50,11989,894.18
astar,true,836.31,1976872,98.84,11989,846.68
bfs,true,709.19,1970011,98.50,11989,874.04
dfs,true,310.92,1020409,51.02,11989,486.72
wallFollower,true,409.24,1968813,98.44,11989,850.54
dijkstra,false,900.98,2023693,98.84,9833,714.64
astar,false,848.34,2038378,99.55,9833,663.65
bfs,false,696.64,2023692,98.84,9833,865.97
dfs,false,300.83,906130,44.25,28628,555.49
wallFollower,false,552.42,2380797,116.28,156999,790.77
