Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1892.094,733258,50.74,10223,857.50
astar,true,4020.039,1403795,97.15,10223,979.84
bfs,true,1840.710,1418265,98.15,10223,725.03
dfs,true,976.290,799008,55.29,10223,732.81
wallFollower,true,1280.649,1301416,90.06,10223,965.37
dijkstra,false,2819.972,1026063,69.36,15038,1131.20
astar,false,4575.513,1448701,97.93,8155,877.53
bfs,false,1814.497,1455407,98.38,8155,1116.16
dfs,false,868.852,675694,45.68,18597,625.37
wallFollower,false,1395.909,1377847,93.14,112074,742.44
