Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2549.93,3077313,98.47,15450,1439.23
astar,true,2289.16,3088401,98.83,15450,1444.36
bfs,true,1690.12,3077308,98.47,15450,1361.44
dfs,true,772.83,1537284,49.19,15450,862.96
wallFollower,true,1217.88,3190551,102.10,15450,1060.42
dijkstra,false,2793.91,3148845,98.43,12628,1129.06
astar,false,2219.12,3171072,99.12,12628,1027.38
bfs,false,1658.02,3148842,98.42,12628,1065.94
dfs,false,1010.45,2034261,63.59,37607,869.18
wallFollower,false,1229.44,3191827,99.77,242233,1042.55
