Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1116.79,1409250,97.53,9507,373.19
astar,true,1060.00,1418096,98.14,9507,367.55
bfs,true,801.07,1409257,97.53,9507,419.30
dfs,true,321.10,708223,49.01,9507,316.18
wallFollower,true,536.63,1482731,102.61,9507,392.11
dijkstra,false,1142.18,1455134,98.36,7935,476.69
astar,false,1008.62,1467627,99.21,7935,422.80
bfs,false,739.87,1455133,98.36,7935,391.93
dfs,false,298.94,584097,39.48,26074,289.01
wallFollower,false,485.93,1345654,90.96,115382,521.75
