Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1572.65,2049053,97.52,11694,841.66
astar,true,1437.26,2061825,98.12,11694,782.95
bfs,true,1083.16,2049049,97.52,11694,746.97
dfs,true,501.79,1064934,50.68,11694,410.39
wallFollower,true,717.59,2083786,99.17,11694,674.59
dijkstra,false,1748.63,2121450,98.62,9975,952.61
astar,false,1568.75,2138182,99.39,9975,906.70
bfs,false,1169.82,2121449,98.62,9975,760.58
dfs,false,468.76,884917,41.14,26449,497.45
wallFollower,false,918.37,2361178,109.76,159749,1003.55
