Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1457.768,602114,47.04,9144,896.10
astar,true,3245.860,1244023,97.19,9144,884.56
bfs,true,1493.816,1257989,98.28,9144,953.68
dfs,true,670.935,577979,45.15,9144,575.92
wallFollower,true,1340.461,1412720,110.37,9144,806.73
dijkstra,false,2071.541,819217,62.52,12069,891.16
astar,false,3704.581,1271206,97.01,7027,677.67
bfs,false,1524.141,1283080,97.92,7027,1001.43
dfs,false,621.048,535776,40.89,15964,517.14
wallFollower,false,1023.990,1038009,79.21,100306,750.29
