Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2285.608,1344655,58.18,13253,2034.71
astar,true,4600.346,2255011,97.57,13253,1137.26
bfs,true,1936.750,2268885,98.17,13253,2028.53
dfs,true,631.080,955016,41.32,13253,1105.21
wallFollower,true,1479.256,2724038,117.86,13253,1736.77
dijkstra,false,3929.551,1526471,64.51,18269,1767.68
astar,false,8795.220,2315256,97.85,10276,1794.30
bfs,false,2624.668,2326653,98.33,10276,2593.46
dfs,false,1040.221,1344174,56.81,30822,1373.54
wallFollower,false,1928.460,2765307,116.87,173512,2139.74
