Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1013.119,548932,40.33,9506,928.73
astar,true,2774.929,1319074,96.90,9506,588.62
bfs,true,1199.208,1332505,97.89,9506,1188.82
dfs,true,480.691,590731,43.40,9506,723.54
wallFollower,true,940.282,1549862,113.86,9506,908.49
dijkstra,false,1889.059,792434,56.87,13182,1287.52
astar,false,4752.788,1365524,97.99,7815,1120.58
bfs,false,1413.262,1372084,98.46,7815,1421.59
dfs,false,567.689,670797,48.13,17243,1094.30
wallFollower,false,951.410,1526783,109.56,102504,1220.98
